S,I,R,S2I,I2R
321528900.0,4324027.0,3211995.0,2206.0,48435.0
321470600.0,4360035.0,3234316.0,36008.0,22321.0
321414600.0,4397227.0,3253118.0,37192.0,18802.0
321360580.0,4426713.0,3277639.0,29486.0,24521.0
321314750.0,4460031.0,3290155.0,33318.0,12516.0
321274050.0,4468747.0,3322143.0,8716.0,31988.0
321221150.0,4502964.0,3340805.0,34217.0,18662.0
321161700.0,4530235.0,3373007.0,27271.0,32202.0
321097340.0,4572172.0,3395428.0,41937.0,22421.0
321028860.0,4619574.0,3416475.0,47402.0,21047.0
320972000.0,4652670.0,3440254.0,33096.0,23779.0
320922720.0,4687973.0,3454247.0,35303.0,13993.0
320855700.0,4716047.0,3493179.0,28074.0,38932.0
320794600.0,4753656.0,3516658.0,37609.0,23479.0
320731600.0,4787321.0,3546019.0,33665.0,29361.0
320656260.0,4832104.0,3576571.0,44783.0,30552.0
320575260.0,4889769.0,3599893.0,57665.0,23322.0
320492480.0,4940391.0,3632058.0,50622.0,32165.0
320430700.0,4985552.0,3648658.0,45161.0,16600.0
320364160.0,5014062.0,3686727.0,28510.0,38069.0
320288130.0,5061884.0,3714906.0,47822.0,28179.0
320209440.0,5109087.0,3746387.0,47203.0,31481.0
320119300.0,5162092.0,3783550.0,53005.0,37163.0
320020770.0,5235467.0,3808694.0,73375.0,25144.0
319931870.0,5289440.0,3843605.0,53973.0,34911.0
319856320.0,5346493.0,3862114.0,57053.0,18509.0
319772830.0,5385043.0,3907048.0,38550.0,44934.0
319648200.0,5477941.0,3938768.0,92898.0,31720.0
319545380.0,5541327.0,3978255.0,63386.0,39487.0
319419170.0,5628143.0,4017629.0,86816.0,39374.0
319293440.0,5723616.0,4047864.0,95473.0,30235.0
319165470.0,5809934.0,4089546.0,86318.0,41682.0
319055550.0,5889341.0,4120045.0,79407.0,30499.0
318934180.0,5962665.0,4168087.0,73324.0,48042.0
318796480.0,6065950.0,4202496.0,103285.0,34409.0
318652960.0,6172783.0,4239211.0,106833.0,36715.0
318491680.0,6278741.0,4294501.0,105958.0,55290.0
318314100.0,6411261.0,4339549.0,132520.0,45048.0
318147400.0,6523412.0,4394107.0,112151.0,54558.0
318011620.0,6632130.0,4421174.0,108718.0,27067.0
317853860.0,6719235.0,4491835.0,87105.0,70661.0
317693340.0,6829229.0,4542356.0,109994.0,50521.0
317522940.0,6940584.0,4601402.0,111355.0,59046.0
317334980.0,7066640.0,4663309.0,126056.0,61907.0
317138980.0,7213512.0,4712447.0,146872.0,49138.0
316960900.0,7318386.0,4785646.0,104874.0,73199.0
316818140.0,7463387.0,4783379.0,145001.0,0.0
316646700.0,7526849.0,4891379.0,63462.0,108000.0
316473800.0,7634574.0,4956589.0,107725.0,65210.0
316292300.0,7674475.0,5098178.0,39901.0,141589.0
316181660.0,7748607.0,5134657.0,74132.0,36479.0
315976130.0,7876517.0,5212304.0,127910.0,77647.0
315820500.0,7955307.0,5289110.0,78790.0,76806.0
